algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.2501,9413,8
QuickSort,random,1000,0.1058,11407,6
QuickSelect,random,1000,0.0227,3391,1
MergeSort,sorted,1000,0.0401,4236,8
QuickSort,sorted,1000,0.0715,12099,6
QuickSelect,sorted,1000,0.0119,2679,1
MergeSort,duplicates,1000,0.0868,9124,8
QuickSort,duplicates,1000,0.0241,3250,2
QuickSelect,duplicates,1000,0.0204,2924,1
MergeSort,random,10000,1.1001,126899,11
QuickSort,random,10000,0.7198,164081,9
QuickSelect,random,10000,0.1098,36142,1
MergeSort,sorted,10000,0.4188,59248,11
QuickSort,sorted,10000,0.4157,158514,9
QuickSelect,sorted,10000,0.0328,34784,1
MergeSort,duplicates,10000,0.9835,121718,11
QuickSort,duplicates,10000,0.1125,31251,2
QuickSelect,duplicates,10000,0.0739,24924,1
MergeSort,random,100000,6.7055,1638932,14
QuickSort,random,100000,7.0648,2054811,10
QuickSelect,random,100000,1.007,372574,1
MergeSort,sorted,100000,1.9051,744016,14
QuickSort,sorted,100000,3.4497,2013361,11
QuickSelect,sorted,100000,0.248,281597,1
MergeSort,duplicates,100000,3.4622,1561671,14
QuickSort,duplicates,100000,1.0536,329563,2
QuickSelect,duplicates,100000,0.8551,210136,1
MergeSort,random,1000000,84.8383,19886008,18
QuickSort,random,1000000,81.7853,24458146,14
QuickSelect,random,1000000,10.7162,4644018,1
MergeSort,sorted,1000000,23.618,9071040,18
QuickSort,sorted,1000000,39.8798,24737091,15
QuickSelect,sorted,1000000,2.6954,3078148,1
MergeSort,duplicates,1000000,40.7732,18927281,18
QuickSort,duplicates,1000000,12.0624,3799843,2
QuickSelect,duplicates,1000000,9.5957,2599452,1
